County,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_TOTAL VOTES,Total,
Elbert,1985,1448,3861,0,7294,7294,
Franklin,2449,1646,5627,1,9723,9723,
Hart,2579,1888,6189,3,10659,10659,
Madison,3906,2189,6681,3,12779,12779,
Oglethorpe,1250,1219,4004,2,6475,6475,
