County,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_TOTAL VOTES,Total,
Banks,1706,1115,5196,11,8028,8028,
Barrow,6954,5657,19325,4,31940,31940,
Jackson,5637,5623,22045,6,33311,33311,
