County,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_TOTAL VOTES,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_TOTAL VOTES,Total,
Appling,1144,679,2694,5,4522,845,683,1775,6,3309,7831,
Camden,2946,2031,7973,4,12954,1726,2573,4888,2,9189,22143,
Glynn,2253,2757,8493,15,13518,4379,6730,14868,35,26012,39530,
Jeff Davis,1071,457,1998,0,3526,513,275,1028,0,1816,5342,
Wayne,1618,1063,3969,6,6656,1256,912,3352,2,5522,12178,
