index,County,Precinct,Registered Voters,Pat Rasbury (I) (Rep)_Election Day Votes,Pat Rasbury (I) (Rep)_Advanced Voting Votes,Pat Rasbury (I) (Rep)_Absentee by Mail Votes,Pat Rasbury (I) (Rep)_Provisional Votes,Pat Rasbury (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,432,365,109,1,907,907,
1,Gordon,Plainville,2044,540,473,160,3,1176,1176,
2,Gordon,Sonoraville,5380,1179,1738,437,1,3355,3355,
3,Gordon,Pine Chapel,1071,324,265,65,0,654,654,
4,Gordon,Oostanaula,667,223,121,75,0,419,419,
5,Gordon,Oakman,1439,447,259,97,0,803,803,
6,Gordon,Gordon County,6423,885,2043,541,1,3470,3470,
7,Gordon,Calhoun City,9532,1148,3041,891,2,5082,5082,
8,Gordon,Lily Pond,1914,374,599,164,0,1137,1137,
9,Gordon,Fairmount,1991,691,351,183,2,1227,1227,
10,Gordon,Red Bud,2965,666,945,186,0,1797,1797,
11,Gordon,Resaca,1532,410,342,116,0,868,868,
