index,County,Precinct,Registered Voters,Rick Jasperse (I) (Rep)_Election Day Votes,Rick Jasperse (I) (Rep)_Advanced Voting Votes,Rick Jasperse (I) (Rep)_Absentee by Mail Votes,Rick Jasperse (I) (Rep)_Provisional Votes,Rick Jasperse (I) (Rep)_Choice Total,Kayla Hollifield (Dem)_Election Day Votes,Kayla Hollifield (Dem)_Advanced Voting Votes,Kayla Hollifield (Dem)_Absentee by Mail Votes,Kayla Hollifield (Dem)_Provisional Votes,Kayla Hollifield (Dem)_Choice Total,Total,
0,Gordon,Sonoraville,5380,468,676,176,0,1320,54,93,72,0,219,1539,
1,Gordon,Oakman,1439,428,247,94,0,769,29,37,42,0,108,877,
2,Gordon,Fairmount,1991,661,351,170,1,1183,62,38,58,0,158,1341,
3,Gordon,Red Bud,2965,9,3,0,0,12,0,0,0,0,0,12,
