index,County,Precinct,Registered Voters,Kevin L._Election Day Votes,Kevin L._Advanced Voting Votes,Kevin L._Absentee by Mail Votes,Kevin L._Provisional Votes,Kevin L._Choice Total,Total,
0,Gordon,Sugar Valley,1471,428,358,106,1,893,893,
1,Gordon,Plainville,2044,530,465,160,3,1158,1158,
2,Gordon,Sonoraville,5380,1162,1721,440,1,3324,3324,
3,Gordon,Pine Chapel,1071,321,258,63,0,642,642,
4,Gordon,Oostanaula,667,223,123,76,0,422,422,
5,Gordon,Oakman,1439,443,249,98,0,790,790,
6,Gordon,Gordon County,6423,884,2019,541,1,3445,3445,
7,Gordon,Calhoun City,9532,1124,2982,879,2,4987,4987,
8,Gordon,Lily Pond,1914,366,593,166,0,1125,1125,
9,Gordon,Fairmount,1991,693,349,175,2,1219,1219,
10,Gordon,Red Bud,2965,654,934,180,0,1768,1768,
11,Gordon,Resaca,1532,406,336,117,0,859,859,
