index,County,Precinct,Registered Voters,Jason Hendrix (I) (Rep)_Election Day Votes,Jason Hendrix (I) (Rep)_Advanced Voting Votes,Jason Hendrix (I) (Rep)_Absentee by Mail Votes,Jason Hendrix (I) (Rep)_Provisional Votes,Jason Hendrix (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,428,362,100,1,891,891,
1,Gordon,Plainville,2044,534,473,163,3,1173,1173,
2,Gordon,Sonoraville,5380,1171,1723,435,0,3329,3329,
3,Gordon,Pine Chapel,1071,319,261,67,0,647,647,
4,Gordon,Oostanaula,667,226,124,74,0,424,424,
5,Gordon,Oakman,1439,445,255,97,0,797,797,
6,Gordon,Gordon County,6423,886,2027,526,0,3439,3439,
7,Gordon,Lily Pond,1914,365,600,163,0,1128,1128,
8,Gordon,Fairmount,1991,697,355,177,2,1231,1231,
9,Gordon,Red Bud,2965,655,936,179,1,1771,1771,
10,Gordon,Resaca,1532,409,336,116,0,861,861,
