index,County,Precinct,Registered Voters,Mitch Ralston (I) (Rep)_Election Day Votes,Mitch Ralston (I) (Rep)_Advanced Voting Votes,Mitch Ralston (I) (Rep)_Absentee by Mail Votes,Mitch Ralston (I) (Rep)_Provisional Votes,Mitch Ralston (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,424,355,109,1,889,889,
1,Gordon,Plainville,2044,550,476,160,3,1189,1189,
2,Gordon,Sonoraville,5380,1186,1750,460,1,3397,3397,
3,Gordon,Pine Chapel,1071,324,269,74,0,667,667,
4,Gordon,Oostanaula,667,224,128,80,0,432,432,
5,Gordon,Oakman,1439,448,258,98,0,804,804,
6,Gordon,Gordon County,6423,912,2061,568,1,3542,3542,
7,Gordon,Calhoun City,9532,1145,3061,922,2,5130,5130,
8,Gordon,Lily Pond,1914,375,607,178,0,1160,1160,
9,Gordon,Fairmount,1991,700,358,186,2,1246,1246,
10,Gordon,Red Bud,2965,671,950,192,0,1813,1813,
11,Gordon,Resaca,1532,417,344,124,1,886,886,
