index,County,Precinct,Registered Voters,James Carver (I) (Rep)_Election Day Votes,James Carver (I) (Rep)_Advanced Voting Votes,James Carver (I) (Rep)_Absentee by Mail Votes,James Carver (I) (Rep)_Provisional Votes,James Carver (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,435,367,110,1,913,913,
1,Gordon,Plainville,2044,549,475,161,3,1188,1188,
2,Gordon,Sonoraville,5380,1189,1745,443,1,3378,3378,
3,Gordon,Pine Chapel,1071,323,267,65,0,655,655,
4,Gordon,Oostanaula,667,227,127,75,0,429,429,
5,Gordon,Oakman,1439,448,255,98,0,801,801,
6,Gordon,Gordon County,6423,902,2048,560,1,3511,3511,
7,Gordon,Calhoun City,9532,1143,3028,894,2,5067,5067,
8,Gordon,Lily Pond,1914,377,597,168,0,1142,1142,
9,Gordon,Fairmount,1991,701,355,181,2,1239,1239,
10,Gordon,Red Bud,2965,663,956,190,1,1810,1810,
11,Gordon,Resaca,1532,416,344,122,0,882,882,
