index,County,Precinct,Registered Voters,M. L. Bud Owens (I) (Rep)_Election Day Votes,M. L. Bud Owens (I) (Rep)_Advanced Voting Votes,M. L. Bud Owens (I) (Rep)_Absentee by Mail Votes,M. L. Bud Owens (I) (Rep)_Provisional Votes,M. L. Bud Owens (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,433,366,108,1,908,908,
1,Gordon,Plainville,2044,542,476,161,3,1182,1182,
2,Gordon,Sonoraville,5380,1184,1744,455,1,3384,3384,
3,Gordon,Pine Chapel,1071,318,260,66,0,644,644,
4,Gordon,Oostanaula,667,227,126,79,0,432,432,
5,Gordon,Oakman,1439,448,255,97,0,800,800,
6,Gordon,Gordon County,6423,902,2052,549,1,3504,3504,
7,Gordon,Calhoun City,9532,1134,3045,914,2,5095,5095,
8,Gordon,Lily Pond,1914,369,604,167,0,1140,1140,
9,Gordon,Fairmount,1991,695,355,183,2,1235,1235,
10,Gordon,Red Bud,2965,658,950,184,1,1793,1793,
11,Gordon,Resaca,1532,410,342,119,0,871,871,
