index,County,Precinct,Registered Voters,Grant Walraven (I) (Rep)_Election Day Votes,Grant Walraven (I) (Rep)_Advanced Voting Votes,Grant Walraven (I) (Rep)_Absentee by Mail Votes,Grant Walraven (I) (Rep)_Provisional Votes,Grant Walraven (I) (Rep)_Choice Total,Total,
0,Gordon,Sugar Valley,1471,437,374,108,1,920,920,
1,Gordon,Plainville,2044,559,477,158,3,1197,1197,
2,Gordon,Sonoraville,5380,1199,1769,450,0,3418,3418,
3,Gordon,Pine Chapel,1071,325,272,71,0,668,668,
4,Gordon,Oostanaula,667,228,126,82,0,436,436,
5,Gordon,Oakman,1439,455,264,98,0,817,817,
6,Gordon,Gordon County,6423,918,2080,564,1,3563,3563,
7,Gordon,Calhoun City,9532,1156,3096,926,2,5180,5180,
8,Gordon,Lily Pond,1914,377,608,170,0,1155,1155,
9,Gordon,Fairmount,1991,700,367,183,2,1252,1252,
10,Gordon,Red Bud,2965,671,969,192,0,1832,1832,
11,Gordon,Resaca,1532,418,349,123,0,890,890,
