index,County,Precinct,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,292,1176,302,11,1781,1781,
1,Tift,Brighton,2219,358,1087,188,0,1633,1633,
2,Tift,Brookfield,1501,331,556,80,0,967,967,
3,Tift,Chula,1314,317,526,132,1,976,976,
4,Tift,Docia,1056,241,451,99,1,792,792,
5,Tift,Eldorado,1262,301,444,79,2,826,826,
6,Tift,Omega,864,284,162,40,1,487,487,
7,Tift,Ty Ty,1221,284,370,87,1,742,742,
8,Tift,Tifton Northwest,3334,350,1395,294,0,2039,2039,
9,Tift,Tifton South,2366,157,458,137,1,753,753,
10,Tift,Mott-Litman Gym,2889,183,478,156,1,818,818,
11,Tift,Tifton Lodge,3091,252,1186,281,0,1719,1719,
