index,County,Precinct,Registered Voters,Sam Watson (I) (Rep)_Election Day Votes,Sam Watson (I) (Rep)_Advanced Voting Votes,Sam Watson (I) (Rep)_Absentee by Mail Votes,Sam Watson (I) (Rep)_Provisional Votes,Sam Watson (I) (Rep)_Choice Total,Total,
0,Tift,Docia,1056,244,458,94,1,797,797,
1,Tift,Eldorado,1262,297,443,79,2,821,821,
2,Tift,Omega,864,283,161,40,1,485,485,
3,Tift,Tifton South,2366,152,445,126,0,723,723,
4,Tift,Mott-Litman Gym,2889,38,110,46,1,195,195,
