index,County,Precinct,Registered Voters,R. Chad Alexander (I) (Rep)_Election Day Votes,R. Chad Alexander (I) (Rep)_Advanced Voting Votes,R. Chad Alexander (I) (Rep)_Absentee by Mail Votes,R. Chad Alexander (I) (Rep)_Provisional Votes,R. Chad Alexander (I) (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,294,1187,301,13,1795,1795,
1,Tift,Brighton,2219,359,1099,201,0,1659,1659,
2,Tift,Brookfield,1501,330,554,83,0,967,967,
3,Tift,Chula,1314,321,532,134,1,988,988,
4,Tift,Docia,1056,242,454,103,1,800,800,
5,Tift,Eldorado,1262,302,452,81,2,837,837,
6,Tift,Omega,864,284,161,41,1,487,487,
7,Tift,Ty Ty,1221,286,383,87,1,757,757,
8,Tift,Tifton Northwest,3334,348,1409,292,0,2049,2049,
9,Tift,Tifton South,2366,161,466,153,1,781,781,
10,Tift,Mott-Litman Gym,2889,196,493,177,1,867,867,
11,Tift,Tifton Lodge,3091,251,1188,292,0,1731,1731,
