index,County,Precinct,Registered Voters,Tony McBrayer (Rep)_Election Day Votes,Tony McBrayer (Rep)_Advanced Voting Votes,Tony McBrayer (Rep)_Absentee by Mail Votes,Tony McBrayer (Rep)_Provisional Votes,Tony McBrayer (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,289,1169,290,12,1760,1760,
1,Tift,Brighton,2219,353,1095,186,0,1634,1634,
2,Tift,Brookfield,1501,330,555,84,0,969,969,
3,Tift,Chula,1314,319,528,133,1,981,981,
4,Tift,Docia,1056,244,454,100,1,799,799,
5,Tift,Eldorado,1262,302,444,80,2,828,828,
6,Tift,Omega,864,288,162,42,1,493,493,
7,Tift,Ty Ty,1221,287,378,86,1,752,752,
8,Tift,Tifton Northwest,3334,348,1387,289,0,2024,2024,
9,Tift,Tifton South,2366,157,458,138,1,754,754,
10,Tift,Mott-Litman Gym,2889,179,465,160,1,805,805,
11,Tift,Tifton Lodge,3091,252,1174,283,0,1709,1709,
