index,County,Precinct,Registered Voters,Suzanne Carter Johnson (I) (Rep)_Election Day Votes,Suzanne Carter Johnson (I) (Rep)_Advanced Voting Votes,Suzanne Carter Johnson (I) (Rep)_Absentee by Mail Votes,Suzanne Carter Johnson (I) (Rep)_Provisional Votes,Suzanne Carter Johnson (I) (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,292,1176,295,11,1774,1774,
1,Tift,Brighton,2219,357,1090,195,0,1642,1642,
2,Tift,Brookfield,1501,331,559,80,0,970,970,
3,Tift,Chula,1314,321,533,134,1,989,989,
4,Tift,Docia,1056,243,452,104,1,800,800,
5,Tift,Eldorado,1262,301,445,81,2,829,829,
6,Tift,Omega,864,285,163,40,1,489,489,
7,Tift,Ty Ty,1221,283,370,86,1,740,740,
8,Tift,Tifton Northwest,3334,348,1393,291,0,2032,2032,
9,Tift,Tifton South,2366,162,468,142,2,774,774,
10,Tift,Mott-Litman Gym,2889,199,492,166,1,858,858,
11,Tift,Tifton Lodge,3091,250,1190,285,0,1725,1725,
