index,County,Precinct,Registered Voters,"Fred W. """"Buck"""" Rigdon, Jr. (I) (Rep)_Election Day Votes","Fred W. """"Buck"""" Rigdon, Jr. (I) (Rep)_Advanced Voting Votes","Fred W. """"Buck"""" Rigdon, Jr. (I) (Rep)_Absentee by Mail Votes","Fred W. """"Buck"""" Rigdon, Jr. (I) (Rep)_Provisional Votes","Fred W. """"Buck"""" Rigdon, Jr. (I) (Rep)_Choice Total",Total,
0,Tift,Tifton Northeast,3332,270,1142,282,3,1697,1697,
1,Tift,Tifton Northwest,3334,6,24,6,0,36,36,
2,Tift,Tifton Lodge,3091,71,391,98,0,560,560,
