index,County,Precinct,Registered Voters,Penny Houston (I) (Rep)_Election Day Votes,Penny Houston (I) (Rep)_Advanced Voting Votes,Penny Houston (I) (Rep)_Absentee by Mail Votes,Penny Houston (I) (Rep)_Provisional Votes,Penny Houston (I) (Rep)_Choice Total,Andre Oliver (Dem)_Election Day Votes,Andre Oliver (Dem)_Advanced Voting Votes,Andre Oliver (Dem)_Absentee by Mail Votes,Andre Oliver (Dem)_Provisional Votes,Andre Oliver (Dem)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,218,926,215,8,1367,133,406,162,4,705,2072,
1,Tift,Brighton,2219,7,23,9,0,39,0,1,1,0,2,41,
2,Tift,Brookfield,1501,307,523,67,0,897,42,60,33,0,135,1032,
3,Tift,Tifton Northwest,3334,8,23,0,0,31,6,6,5,0,17,48,
4,Tift,Mott-Litman Gym,2889,35,174,27,0,236,158,353,193,1,705,941,
5,Tift,Tifton Lodge,3091,189,983,195,0,1367,94,335,175,1,605,1972,
