index,County,Precinct,Registered Voters,Bryan P. Cavenaugh (Rep)_Election Day Votes,Bryan P. Cavenaugh (Rep)_Advanced Voting Votes,Bryan P. Cavenaugh (Rep)_Absentee by Mail Votes,Bryan P. Cavenaugh (Rep)_Provisional Votes,Bryan P. Cavenaugh (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,296,1179,292,12,1779,1779,
1,Tift,Brighton,2219,353,1080,185,0,1618,1618,
2,Tift,Brookfield,1501,333,553,83,0,969,969,
3,Tift,Chula,1314,317,527,133,1,978,978,
4,Tift,Docia,1056,243,451,101,1,796,796,
5,Tift,Eldorado,1262,300,443,79,2,824,824,
6,Tift,Omega,864,284,164,42,1,491,491,
7,Tift,Ty Ty,1221,285,377,85,1,748,748,
8,Tift,Tifton Northwest,3334,346,1390,287,0,2023,2023,
9,Tift,Tifton South,2366,157,460,144,1,762,762,
10,Tift,Mott-Litman Gym,2889,183,482,166,1,832,832,
11,Tift,Tifton Lodge,3091,254,1173,284,0,1711,1711,
