index,County,Precinct,Registered Voters,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_Choice Total,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_Choice Total,Total,
0,Tift,Brighton,2219,325,985,157,0,1467,38,141,70,0,249,1716,
1,Tift,Chula,1314,314,492,112,1,919,18,78,42,0,138,1057,
2,Tift,Ty Ty,1221,244,333,69,1,647,70,72,34,0,176,823,
3,Tift,Tifton Northwest,3334,261,1176,218,0,1655,112,339,141,0,592,2247,
4,Tift,Tifton South,2366,0,0,0,0,0,0,0,1,0,1,1,
5,Tift,Tifton Lodge,3091,2,23,6,0,31,0,1,1,0,2,33,
