index,County,Precinct,Registered Voters,Clay Pate (I) (Rep)_Election Day Votes,Clay Pate (I) (Rep)_Advanced Voting Votes,Clay Pate (I) (Rep)_Absentee by Mail Votes,Clay Pate (I) (Rep)_Provisional Votes,Clay Pate (I) (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,293,1178,297,12,1780,1780,
1,Tift,Brighton,2219,360,1091,192,0,1643,1643,
2,Tift,Brookfield,1501,331,555,82,0,968,968,
3,Tift,Chula,1314,319,525,132,1,977,977,
4,Tift,Docia,1056,242,450,99,1,792,792,
5,Tift,Eldorado,1262,303,447,79,2,831,831,
6,Tift,Omega,864,286,162,42,1,491,491,
7,Tift,Ty Ty,1221,286,373,86,1,746,746,
8,Tift,Tifton Northwest,3334,352,1406,287,0,2045,2045,
9,Tift,Tifton South,2366,154,449,143,1,747,747,
10,Tift,Mott-Litman Gym,2889,195,484,169,1,849,849,
11,Tift,Tifton Lodge,3091,254,1186,286,0,1726,1726,
