index,County,Precinct,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,
0,Wayne,Odum,1260,177,302,57,0,536,135,230,53,0,418,954,
1,Wayne,Madray Springs,1176,119,365,100,0,584,67,192,47,0,306,890,
2,Wayne,Oglethorpe,1741,154,493,111,0,758,99,297,82,0,478,1236,
3,Wayne,Screven,1849,297,380,100,2,779,193,277,67,0,537,1316,
4,Wayne,Empire,1106,125,323,74,0,522,72,227,37,0,336,858,
5,Wayne,Red Hill,1036,89,214,66,0,369,60,194,48,0,302,671,
6,Wayne,Altamaha,2857,154,593,139,3,889,136,564,127,0,827,1716,
7,Wayne,Gardi,1123,174,215,80,1,470,130,138,51,1,320,790,
8,Wayne,VFW,1145,16,81,33,0,130,81,260,114,1,456,586,
9,Wayne,Pine Street,1140,46,183,53,0,282,75,249,78,0,402,684,
10,Wayne,Unity,1905,124,420,140,0,684,111,360,123,0,594,1278,
11,Wayne,Rec Center,1766,143,400,110,0,653,97,364,85,0,546,1199,
