index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Wayne,Odum,1260,291,480,80,0,851,9,33,35,0,77,4,6,4,0,14,942,
1,Wayne,Madray Springs,1176,170,511,119,0,800,8,29,26,0,63,4,9,4,0,17,880,
2,Wayne,Oglethorpe,1741,222,684,143,0,1049,20,79,45,0,144,8,13,5,0,26,1219,
3,Wayne,Screven,1849,429,568,115,2,1114,56,75,50,0,181,6,11,4,0,21,1316,
4,Wayne,Empire,1106,177,497,90,0,764,12,36,18,0,66,3,12,3,0,18,848,
5,Wayne,Red Hill,1036,120,329,78,0,527,19,66,33,0,118,11,7,1,0,19,664,
6,Wayne,Altamaha,2857,204,923,162,3,1292,67,226,99,0,392,14,17,5,0,36,1720,
7,Wayne,Gardi,1123,268,328,103,1,700,18,27,27,0,72,7,4,5,0,16,788,
8,Wayne,VFW,1145,19,90,33,0,142,76,269,129,0,474,2,9,1,0,12,628,
9,Wayne,Pine Street,1140,54,256,67,0,377,65,184,66,0,315,4,8,2,0,14,706,
10,Wayne,Unity,1905,168,579,154,0,901,57,191,104,0,352,8,20,5,0,33,1286,
11,Wayne,Rec Center,1766,195,587,126,0,908,30,162,68,0,260,15,21,5,0,41,1209,
