index,County,Precinct,Registered Voters,"William """"Bill"""" Werkheiser (I) (Rep)_Election Day Votes","William """"Bill"""" Werkheiser (I) (Rep)_Advanced Voting Votes","William """"Bill"""" Werkheiser (I) (Rep)_Absentee by Mail Votes","William """"Bill"""" Werkheiser (I) (Rep)_Provisional Votes","William """"Bill"""" Werkheiser (I) (Rep)_Choice Total",Total,
0,Wayne,Madray Springs,1176,177,532,138,0,847,847,
1,Wayne,Oglethorpe,1741,243,745,174,0,1162,1162,
2,Wayne,Red Hill,1036,142,373,97,0,612,612,
3,Wayne,Altamaha,2857,250,1055,224,3,1532,1532,
4,Wayne,VFW,1145,64,220,78,0,362,362,
5,Wayne,Pine Street,1140,73,199,55,0,327,327,
6,Wayne,Unity,1905,194,691,200,0,1085,1085,
7,Wayne,Rec Center,1766,12,27,6,0,45,45,
