index,County,Precinct,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
0,Wayne,Odum,1260,302,504,92,0,898,14,31,32,0,77,975,
1,Wayne,Madray Springs,1176,173,535,127,1,836,12,25,25,0,62,898,
2,Wayne,Oglethorpe,1741,227,721,149,0,1097,21,80,47,0,148,1245,
3,Wayne,Screven,1849,455,595,125,2,1177,54,73,49,0,176,1353,
4,Wayne,Empire,1106,182,512,90,0,784,13,36,23,0,72,856,
5,Wayne,Red Hill,1036,133,349,80,0,562,19,71,36,0,126,688,
6,Wayne,Altamaha,2857,221,958,181,3,1363,66,229,97,0,392,1755,
7,Wayne,Gardi,1123,282,339,110,2,733,18,23,30,0,71,804,
8,Wayne,VFW,1145,20,100,37,0,157,81,280,131,1,493,650,
9,Wayne,Pine Street,1140,58,262,73,0,393,65,188,68,0,321,714,
10,Wayne,Unity,1905,177,616,172,0,965,57,188,99,0,344,1309,
11,Wayne,Rec Center,1766,214,617,141,0,972,33,169,66,0,268,1240,
