index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Wayne,Odum,1260,301,499,82,0,882,16,41,33,0,90,5,5,6,0,16,988,
1,Wayne,Madray Springs,1176,174,525,117,0,816,12,33,30,1,76,3,7,5,0,15,907,
2,Wayne,Oglethorpe,1741,224,709,144,0,1077,30,90,48,0,168,2,10,2,0,14,1259,
3,Wayne,Screven,1849,459,593,122,2,1176,51,83,43,0,177,7,6,6,0,19,1372,
4,Wayne,Empire,1106,180,505,86,0,771,16,37,21,0,74,4,13,4,0,21,866,
5,Wayne,Red Hill,1036,125,341,77,0,543,20,72,36,0,128,10,7,1,0,18,689,
6,Wayne,Altamaha,2857,221,957,162,2,1342,68,237,104,0,409,7,14,2,0,23,1774,
7,Wayne,Gardi,1123,281,333,102,2,718,21,28,30,0,79,5,6,5,0,16,813,
8,Wayne,VFW,1145,26,96,30,0,152,72,282,127,1,482,3,11,4,0,18,652,
9,Wayne,Pine Street,1140,61,266,70,0,397,66,196,60,0,322,3,6,5,0,14,733,
10,Wayne,Unity,1905,172,597,163,0,932,59,204,101,0,364,9,15,9,0,33,1329,
11,Wayne,Rec Center,1766,202,601,125,0,928,35,179,72,0,286,11,20,6,0,37,1251,
