index,County,Precinct,Registered Voters,Samuel Tostensen (Rep)_Election Day Votes,Samuel Tostensen (Rep)_Advanced Voting Votes,Samuel Tostensen (Rep)_Absentee by Mail Votes,Samuel Tostensen (Rep)_Provisional Votes,Samuel Tostensen (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,466,1636,452,1,2555,2555,
1,Glynn,Brookman,3460,440,1249,278,2,1969,1969,
2,Glynn,Satilla Marshes,2824,344,1029,283,0,1656,1656,
3,Glynn,Blythe Island Baptist,2529,294,1040,262,1,1597,1597,
