index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,401,1486,361,2,2250,97,353,256,1,707,20,23,8,0,51,3008,
1,Glynn,Brookman,3460,394,1085,204,2,1685,83,344,206,1,634,13,35,5,0,53,2372,
2,Glynn,Satilla Marshes,2824,311,909,208,0,1428,78,293,209,0,580,20,19,8,0,47,2055,
3,Glynn,Blythe Island Baptist,2529,255,956,214,2,1427,53,168,90,0,311,17,20,14,0,51,1789,
4,Glynn,Christian Renewal,3699,263,1424,436,3,2126,68,465,338,1,872,13,29,8,0,50,3048,
5,Glynn,Hampton River,2823,213,1180,337,2,1732,32,295,287,0,614,4,14,6,0,24,2370,
6,Glynn,St William Catholic Church,4333,280,1758,416,1,2455,52,576,387,1,1016,6,29,17,0,52,3523,
7,Glynn,First Baptist,4316,272,1626,449,0,2347,85,543,378,2,1008,17,44,3,0,64,3419,
8,Glynn,Jekyll Island,774,196,79,66,2,343,73,61,128,0,262,8,4,0,0,12,617,
9,Glynn,Sterling Church of God,3925,371,1079,218,3,1671,119,442,242,1,804,21,30,18,0,69,2544,
10,Glynn,SE Baptist Bldg,2109,207,558,125,1,891,75,192,102,1,370,7,19,8,0,34,1295,
11,Glynn,Career Academy,2960,294,846,253,2,1395,84,275,182,0,541,17,36,14,0,67,2003,
12,Glynn,C B Greer School,3288,312,967,245,3,1527,72,338,270,1,681,17,23,13,0,53,2261,
13,Glynn,Ballard,3286,191,806,262,4,1263,127,352,194,1,674,9,25,12,0,46,1983,
14,Glynn,Northside Baptist,3313,173,440,162,0,775,198,582,368,1,1149,20,18,21,0,59,1983,
15,Glynn,The Chapel,2971,139,407,141,1,688,113,461,316,0,890,8,26,12,1,47,1625,
16,Glynn,College Place UMC,2367,95,332,116,0,543,135,397,285,2,819,9,22,10,0,41,1403,
17,Glynn,Howard Coffin Park,3320,149,354,123,1,627,173,561,374,2,1110,18,29,15,0,62,1799,
18,Glynn,Urbana-Perry Parks,3638,59,89,50,0,198,287,696,473,3,1459,15,31,20,0,66,1723,
19,Glynn,Selden Park,1439,45,116,27,1,189,80,195,159,3,437,7,12,3,0,22,648,
