index,County,Precinct,Registered Voters,Don Hogan (I) (Rep)_Election Day Votes,Don Hogan (I) (Rep)_Advanced Voting Votes,Don Hogan (I) (Rep)_Absentee by Mail Votes,Don Hogan (I) (Rep)_Provisional Votes,Don Hogan (I) (Rep)_Choice Total,Julie Jordan (Dem)_Election Day Votes,Julie Jordan (Dem)_Advanced Voting Votes,Julie Jordan (Dem)_Absentee by Mail Votes,Julie Jordan (Dem)_Provisional Votes,Julie Jordan (Dem)_Choice Total,Total,
0,Glynn,Brookman,3460,393,1082,198,2,1675,87,373,227,2,689,2364,
1,Glynn,Satilla Marshes,2824,293,901,216,0,1410,100,307,214,0,621,2031,
2,Glynn,Blythe Island Baptist,2529,260,948,217,1,1426,55,183,106,0,344,1770,
3,Glynn,Hampton River,2823,200,1140,327,2,1669,47,327,292,0,666,2335,
4,Glynn,St William Catholic Church,4333,265,1720,418,1,2404,70,623,423,1,1117,3521,
5,Glynn,First Baptist,4316,272,1614,453,0,2339,94,576,392,2,1064,3403,
6,Glynn,Jekyll Island,774,185,75,58,2,320,87,66,137,0,290,610,
7,Glynn,Ballard,3286,192,803,257,3,1255,127,370,206,1,704,1959,
8,Glynn,Northside Baptist,3313,175,425,154,0,754,206,601,397,1,1205,1959,
9,Glynn,The Chapel,2971,130,400,129,0,659,121,485,345,2,953,1612,
10,Glynn,College Place UMC,2367,95,328,115,0,538,139,411,299,2,851,1389,
11,Glynn,Howard Coffin Park,3320,145,338,114,1,598,187,592,410,2,1191,1789,
12,Glynn,Urbana-Perry Parks,3638,55,87,51,1,194,301,724,509,2,1536,1730,
13,Glynn,Selden Park,1439,48,125,26,1,200,81,191,166,3,441,641,
