index,County,Precinct,Registered Voters,C. Teeple Hill (Rep)_Election Day Votes,C. Teeple Hill (Rep)_Advanced Voting Votes,C. Teeple Hill (Rep)_Absentee by Mail Votes,C. Teeple Hill (Rep)_Provisional Votes,C. Teeple Hill (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,467,1628,454,2,2551,2551,
1,Glynn,Brookman,3460,439,1244,284,3,1970,1970,
2,Glynn,Satilla Marshes,2824,349,1034,291,0,1674,1674,
3,Glynn,Blythe Island Baptist,2529,291,1034,264,2,1591,1591,
4,Glynn,Christian Renewal,3699,302,1594,529,3,2428,2428,
5,Glynn,Hampton River,2823,231,1287,435,2,1955,1955,
6,Glynn,St William Catholic Church,4333,306,2000,559,2,2867,2867,
7,Glynn,First Baptist,4316,331,1844,562,1,2738,2738,
8,Glynn,Jekyll Island,774,224,105,103,2,434,434,
9,Glynn,Sterling Church of God,3925,442,1294,312,3,2051,2051,
10,Glynn,SE Baptist Bldg,2109,251,669,175,1,1096,1096,
11,Glynn,Career Academy,2960,349,982,324,3,1658,1658,
12,Glynn,C B Greer School,3288,353,1116,344,2,1815,1815,
13,Glynn,Ballard,3286,263,989,333,4,1589,1589,
14,Glynn,Northside Baptist,3313,281,691,331,0,1303,1303,
15,Glynn,The Chapel,2971,196,602,258,1,1057,1057,
16,Glynn,College Place UMC,2367,175,519,233,0,927,927,
17,Glynn,Howard Coffin Park,3320,240,573,274,0,1087,1087,
18,Glynn,Urbana-Perry Parks,3638,206,369,218,1,794,794,
19,Glynn,Selden Park,1439,90,204,87,1,382,382,
