index,County,Precinct,Registered Voters,Buddy Deloach (Rep)_Election Day Votes,Buddy Deloach (Rep)_Advanced Voting Votes,Buddy Deloach (Rep)_Absentee by Mail Votes,Buddy Deloach (Rep)_Provisional Votes,Buddy Deloach (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,464,1632,435,1,2532,2532,
1,Glynn,Christian Renewal,3699,307,1590,528,2,2427,2427,
2,Glynn,Sterling Church of God,3925,451,1301,304,2,2058,2058,
3,Glynn,SE Baptist Bldg,2109,253,665,168,1,1087,1087,
4,Glynn,Career Academy,2960,354,985,312,1,1652,1652,
5,Glynn,C B Greer School,3288,355,1116,320,1,1792,1792,
