index,County,Precinct,Registered Voters,Allen Booker (I) (Dem)_Election Day Votes,Allen Booker (I) (Dem)_Advanced Voting Votes,Allen Booker (I) (Dem)_Absentee by Mail Votes,Allen Booker (I) (Dem)_Provisional Votes,Allen Booker (I) (Dem)_Choice Total,Total,
0,Glynn,College Place UMC,2367,50,129,125,0,304,304,
1,Glynn,Howard Coffin Park,3320,247,703,417,2,1369,1369,
2,Glynn,Urbana-Perry Parks,3638,323,744,491,2,1560,1560,
3,Glynn,Selden Park,1439,110,244,170,2,526,526,
