index,County,Precinct,Registered Voters,Cap Fendig (Rep)_Election Day Votes,Cap Fendig (Rep)_Advanced Voting Votes,Cap Fendig (Rep)_Absentee by Mail Votes,Cap Fendig (Rep)_Provisional Votes,Cap Fendig (Rep)_Choice Total,"Julian """"Puddy"""" Smith (Dem)_Election Day Votes","Julian """"Puddy"""" Smith (Dem)_Advanced Voting Votes","Julian """"Puddy"""" Smith (Dem)_Absentee by Mail Votes","Julian """"Puddy"""" Smith (Dem)_Provisional Votes","Julian """"Puddy"""" Smith (Dem)_Choice Total",Total,
0,Glynn,Christian Renewal,3699,288,1498,506,3,2295,48,367,262,0,677,2972,
1,Glynn,Hampton River,2823,205,1216,387,2,1810,38,244,227,0,509,2319,
2,Glynn,St William Catholic Church,4333,288,1883,485,2,2658,45,439,331,0,815,3473,
3,Glynn,First Baptist,4316,308,1716,530,1,2555,58,451,289,0,798,3353,
4,Glynn,Jekyll Island,774,208,91,79,2,380,65,50,108,0,223,603,
