index,County,Precinct,Registered Voters,Marcus Edgy (I) (Rep)_Election Day Votes,Marcus Edgy (I) (Rep)_Advanced Voting Votes,Marcus Edgy (I) (Rep)_Absentee by Mail Votes,Marcus Edgy (I) (Rep)_Provisional Votes,Marcus Edgy (I) (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,465,1641,461,1,2568,2568,
1,Glynn,Brookman,3460,440,1242,279,2,1963,1963,
2,Glynn,Satilla Marshes,2824,346,1038,280,0,1664,1664,
3,Glynn,Blythe Island Baptist,2529,290,1032,265,1,1588,1588,
