index,County,Precinct,Registered Voters,Audrey Gibbons (Dem)_Election Day Votes,Audrey Gibbons (Dem)_Advanced Voting Votes,Audrey Gibbons (Dem)_Absentee by Mail Votes,Audrey Gibbons (Dem)_Provisional Votes,Audrey Gibbons (Dem)_Choice Total,Total,
0,Glynn,College Place UMC,2367,53,132,125,0,310,310,
1,Glynn,Howard Coffin Park,3320,251,719,438,2,1410,1410,
2,Glynn,Urbana-Perry Parks,3638,327,750,522,3,1602,1602,
3,Glynn,Selden Park,1439,113,249,170,1,533,533,
