index,County,Precinct,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,464,1610,433,2,2509,2509,
1,Glynn,Brookman,3460,434,1218,265,3,1920,1920,
2,Glynn,Satilla Marshes,2824,347,1009,273,0,1629,1629,
3,Glynn,Blythe Island Baptist,2529,281,1022,255,2,1560,1560,
4,Glynn,Christian Renewal,3699,306,1561,519,2,2388,2388,
5,Glynn,Hampton River,2823,223,1269,411,2,1905,1905,
6,Glynn,St William Catholic Church,4333,309,1962,539,2,2812,2812,
7,Glynn,First Baptist,4316,317,1823,549,1,2690,2690,
8,Glynn,Jekyll Island,774,226,97,98,2,423,423,
9,Glynn,Sterling Church of God,3925,446,1278,297,4,2025,2025,
10,Glynn,SE Baptist Bldg,2109,240,654,167,1,1062,1062,
11,Glynn,Career Academy,2960,348,961,314,3,1626,1626,
12,Glynn,C B Greer School,3288,353,1103,323,2,1781,1781,
13,Glynn,Ballard,3286,259,951,323,4,1537,1537,
14,Glynn,Northside Baptist,3313,274,658,295,0,1227,1227,
15,Glynn,The Chapel,2971,192,575,232,2,1001,1001,
16,Glynn,College Place UMC,2367,169,505,212,0,886,886,
17,Glynn,Howard Coffin Park,3320,236,554,239,1,1030,1030,
18,Glynn,Urbana-Perry Parks,3638,188,348,187,1,724,724,
19,Glynn,Selden Park,1439,93,201,79,2,375,375,
