index,County,Precinct,Registered Voters,E. Neal Jump (I) (Rep)_Election Day Votes,E. Neal Jump (I) (Rep)_Advanced Voting Votes,E. Neal Jump (I) (Rep)_Absentee by Mail Votes,E. Neal Jump (I) (Rep)_Provisional Votes,E. Neal Jump (I) (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,475,1668,476,2,2621,2621,
1,Glynn,Brookman,3460,436,1282,292,3,2013,2013,
2,Glynn,Satilla Marshes,2824,343,1059,291,0,1693,1693,
3,Glynn,Blythe Island Baptist,2529,296,1047,267,2,1612,1612,
4,Glynn,Christian Renewal,3699,306,1606,540,3,2455,2455,
5,Glynn,Hampton River,2823,228,1295,438,2,1963,1963,
6,Glynn,St William Catholic Church,4333,312,2013,566,2,2893,2893,
7,Glynn,First Baptist,4316,329,1857,568,2,2756,2756,
8,Glynn,Jekyll Island,774,231,105,101,2,439,439,
9,Glynn,Sterling Church of God,3925,454,1327,314,3,2098,2098,
10,Glynn,SE Baptist Bldg,2109,254,678,179,2,1113,1113,
11,Glynn,Career Academy,2960,363,1006,340,3,1712,1712,
12,Glynn,C B Greer School,3288,360,1150,352,3,1865,1865,
13,Glynn,Ballard,3286,263,1017,346,4,1630,1630,
14,Glynn,Northside Baptist,3313,299,721,346,0,1366,1366,
15,Glynn,The Chapel,2971,210,639,265,0,1114,1114,
16,Glynn,College Place UMC,2367,177,556,245,1,979,979,
17,Glynn,Howard Coffin Park,3320,251,610,291,0,1152,1152,
18,Glynn,Urbana-Perry Parks,3638,230,413,248,1,892,892,
19,Glynn,Selden Park,1439,96,226,94,2,418,418,
