index,County,Precinct,Registered Voters,Wallace Harrell (I) (Rep)_Election Day Votes,Wallace Harrell (I) (Rep)_Advanced Voting Votes,Wallace Harrell (I) (Rep)_Absentee by Mail Votes,Wallace Harrell (I) (Rep)_Provisional Votes,Wallace Harrell (I) (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,470,1631,449,2,2552,2552,
1,Glynn,Brookman,3460,437,1239,283,3,1962,1962,
2,Glynn,Satilla Marshes,2824,344,1035,283,0,1662,1662,
3,Glynn,Blythe Island Baptist,2529,291,1033,263,2,1589,1589,
4,Glynn,Christian Renewal,3699,306,1597,543,3,2449,2449,
5,Glynn,Hampton River,2823,232,1294,430,2,1958,1958,
6,Glynn,St William Catholic Church,4333,308,2014,561,2,2885,2885,
7,Glynn,First Baptist,4316,328,1860,557,1,2746,2746,
8,Glynn,Jekyll Island,774,221,105,100,2,428,428,
9,Glynn,Sterling Church of God,3925,445,1300,304,2,2051,2051,
10,Glynn,SE Baptist Bldg,2109,250,666,176,1,1093,1093,
11,Glynn,Career Academy,2960,354,982,327,3,1666,1666,
12,Glynn,C B Greer School,3288,350,1116,343,2,1811,1811,
13,Glynn,Ballard,3286,263,990,335,4,1592,1592,
14,Glynn,Northside Baptist,3313,282,693,334,0,1309,1309,
15,Glynn,The Chapel,2971,199,590,245,2,1036,1036,
16,Glynn,College Place UMC,2367,172,520,232,0,924,924,
17,Glynn,Howard Coffin Park,3320,245,577,272,0,1094,1094,
18,Glynn,Urbana-Perry Parks,3638,201,368,217,1,787,787,
19,Glynn,Selden Park,1439,90,206,83,2,381,381,
