index,County,Precinct,Registered Voters,W._Election Day Votes,W._Advanced Voting Votes,W._Absentee by Mail Votes,W._Provisional Votes,W._Choice Total,Total,
0,Randolph,Coleman,229,52,71,31,1,155,155,
1,Randolph,Shellman,929,243,221,134,1,599,599,
2,Randolph,Benevolence,354,82,122,30,0,234,234,
3,Randolph,Cuthbert-Courthouse,2253,175,863,303,0,1341,1341,
4,Randolph,Cuthbert,323,47,130,44,1,222,222,
5,Randolph,Springvale,253,41,84,45,0,170,170,
