index,County,Precinct,Registered Voters,Kay Arnold-Goss (I) (Dem)_Election Day Votes,Kay Arnold-Goss (I) (Dem)_Advanced Voting Votes,Kay Arnold-Goss (I) (Dem)_Absentee by Mail Votes,Kay Arnold-Goss (I) (Dem)_Provisional Votes,Kay Arnold-Goss (I) (Dem)_Choice Total,Total,
0,Randolph,Coleman,229,53,71,29,1,154,154,
1,Randolph,Shellman,929,244,213,139,1,597,597,
2,Randolph,Benevolence,354,84,123,33,0,240,240,
3,Randolph,Cuthbert-Courthouse,2253,178,873,318,0,1369,1369,
4,Randolph,Cuthbert,323,50,126,42,1,219,219,
5,Randolph,Springvale,253,41,82,46,0,169,169,
