index,County,Precinct,Registered Voters,Wesley L. Williams (I) (Dem)_Election Day Votes,Wesley L. Williams (I) (Dem)_Advanced Voting Votes,Wesley L. Williams (I) (Dem)_Absentee by Mail Votes,Wesley L. Williams (I) (Dem)_Provisional Votes,Wesley L. Williams (I) (Dem)_Choice Total,Total,
0,Randolph,Cuthbert-Courthouse,2253,32,96,52,0,180,180,
1,Randolph,Cuthbert,323,48,106,40,1,195,195,
