index,County,Precinct,Registered Voters,Janet Anderson (I) (Dem)_Election Day Votes,Janet Anderson (I) (Dem)_Advanced Voting Votes,Janet Anderson (I) (Dem)_Absentee by Mail Votes,Janet Anderson (I) (Dem)_Provisional Votes,Janet Anderson (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,47,17,14,1,79,79,
1,Baker,Elmodel,401,59,101,68,1,229,229,
2,Baker,Hoggards Mill,351,62,67,50,0,179,179,
3,Baker,Milford,270,58,48,33,0,139,139,
4,Baker,Newton,1070,89,290,134,0,513,513,
