index,County,Precinct,Registered Voters,Angela Hendricks (I) (Dem)_Election Day Votes,Angela Hendricks (I) (Dem)_Advanced Voting Votes,Angela Hendricks (I) (Dem)_Absentee by Mail Votes,Angela Hendricks (I) (Dem)_Provisional Votes,Angela Hendricks (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,47,15,15,1,78,78,
1,Baker,Elmodel,401,65,111,72,1,249,249,
2,Baker,Hoggards Mill,351,70,75,52,0,197,197,
3,Baker,Milford,270,71,57,38,0,166,166,
4,Baker,Newton,1070,102,343,148,0,593,593,
