index,County,Precinct,Registered Voters,Alvin Lofton (I) (Dem)_Election Day Votes,Alvin Lofton (I) (Dem)_Advanced Voting Votes,Alvin Lofton (I) (Dem)_Absentee by Mail Votes,Alvin Lofton (I) (Dem)_Provisional Votes,Alvin Lofton (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,47,16,14,1,78,78,
1,Baker,Elmodel,401,58,105,69,1,233,233,
2,Baker,Hoggards Mill,351,67,72,50,0,189,189,
3,Baker,Milford,270,64,51,33,0,148,148,
4,Baker,Newton,1070,97,306,146,0,549,549,
