index,County,Precinct,Registered Voters,Lydia Burch (I) (Dem)_Election Day Votes,Lydia Burch (I) (Dem)_Advanced Voting Votes,Lydia Burch (I) (Dem)_Absentee by Mail Votes,Lydia Burch (I) (Dem)_Provisional Votes,Lydia Burch (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,51,22,15,1,89,89,
1,Baker,Elmodel,401,66,101,71,1,239,239,
2,Baker,Hoggards Mill,351,65,66,46,0,177,177,
3,Baker,Milford,270,65,53,33,0,151,151,
4,Baker,Newton,1070,94,316,139,0,549,549,
