index,County,Precinct,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,52,24,3,1,80,12,7,12,0,31,111,
1,Baker,Elmodel,401,46,53,15,1,115,28,66,65,0,159,274,
2,Baker,Hoggards Mill,351,42,50,10,0,102,36,36,43,0,115,217,
3,Baker,Milford,270,56,47,18,0,121,30,17,25,0,72,193,
4,Baker,Newton,1070,63,241,60,0,364,46,150,110,0,306,670,
