index,County,Precinct,Registered Voters,Malcolm Parker (I) (Dem)_Election Day Votes,Malcolm Parker (I) (Dem)_Advanced Voting Votes,Malcolm Parker (I) (Dem)_Absentee by Mail Votes,Malcolm Parker (I) (Dem)_Provisional Votes,Malcolm Parker (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,46,17,14,1,78,78,
1,Baker,Elmodel,401,65,103,70,1,239,239,
2,Baker,Hoggards Mill,351,65,70,47,0,182,182,
3,Baker,Milford,270,61,52,33,0,146,146,
4,Baker,Newton,1070,101,322,142,0,565,565,
