index,County,Precinct,Registered Voters,Chris Moore (I) (Dem)_Election Day Votes,Chris Moore (I) (Dem)_Advanced Voting Votes,Chris Moore (I) (Dem)_Absentee by Mail Votes,Chris Moore (I) (Dem)_Provisional Votes,Chris Moore (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,51,18,15,1,85,85,
1,Baker,Elmodel,401,61,104,68,1,234,234,
2,Baker,Hoggards Mill,351,68,75,48,0,191,191,
3,Baker,Milford,270,60,54,29,0,143,143,
4,Baker,Newton,1070,96,308,142,0,546,546,
