index,County,Precinct,Registered Voters,Tommy Rentz (I) (Dem)_Election Day Votes,Tommy Rentz (I) (Dem)_Advanced Voting Votes,Tommy Rentz (I) (Dem)_Absentee by Mail Votes,Tommy Rentz (I) (Dem)_Provisional Votes,Tommy Rentz (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,52,20,15,1,88,88,
1,Baker,Elmodel,401,65,104,71,1,241,241,
2,Baker,Hoggards Mill,351,66,67,45,0,178,178,
3,Baker,Milford,270,67,52,32,0,151,151,
4,Baker,Newton,1070,99,313,139,0,551,551,
