index,County,Precinct,Registered Voters,Matt Bryan (I) (Dem)_Election Day Votes,Matt Bryan (I) (Dem)_Advanced Voting Votes,Matt Bryan (I) (Dem)_Absentee by Mail Votes,Matt Bryan (I) (Dem)_Provisional Votes,Matt Bryan (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,51,22,15,1,89,89,
1,Baker,Elmodel,401,64,107,71,1,243,243,
2,Baker,Hoggards Mill,351,65,67,47,0,179,179,
3,Baker,Milford,270,67,55,35,0,157,157,
4,Baker,Newton,1070,93,300,142,0,535,535,
