index,County,Precinct,Registered Voters,Connie Collins Hobbs (I) (Dem)_Election Day Votes,Connie Collins Hobbs (I) (Dem)_Advanced Voting Votes,Connie Collins Hobbs (I) (Dem)_Absentee by Mail Votes,Connie Collins Hobbs (I) (Dem)_Provisional Votes,Connie Collins Hobbs (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,49,20,15,1,85,85,
1,Baker,Elmodel,401,62,107,69,1,239,239,
2,Baker,Hoggards Mill,351,63,71,49,0,183,183,
3,Baker,Milford,270,66,56,33,0,155,155,
4,Baker,Newton,1070,93,313,143,0,549,549,
