index,County,Precinct,Registered Voters,Winfred Dukes (I) (Dem)_Election Day Votes,Winfred Dukes (I) (Dem)_Advanced Voting Votes,Winfred Dukes (I) (Dem)_Absentee by Mail Votes,Winfred Dukes (I) (Dem)_Provisional Votes,Winfred Dukes (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,37,13,14,1,65,65,
1,Baker,Elmodel,401,57,98,65,1,221,221,
2,Baker,Hoggards Mill,351,61,69,52,0,182,182,
3,Baker,Milford,270,58,43,28,0,129,129,
4,Baker,Newton,1070,93,279,137,0,509,509,
