index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Baker,Anna,166,53,25,4,1,83,10,7,12,0,29,3,0,0,0,3,115,
1,Baker,Elmodel,401,51,57,23,0,131,21,64,57,1,143,2,0,0,0,2,276,
2,Baker,Hoggards Mill,351,43,50,17,0,110,34,33,40,0,107,1,1,1,0,3,220,
3,Baker,Milford,270,57,48,20,0,125,26,15,19,0,60,1,2,1,0,4,189,
4,Baker,Newton,1070,65,259,68,0,392,42,126,96,0,264,2,6,3,0,11,667,
