index,County,Precinct,Registered Voters,Mona Smith (I) (Dem)_Election Day Votes,Mona Smith (I) (Dem)_Advanced Voting Votes,Mona Smith (I) (Dem)_Absentee by Mail Votes,Mona Smith (I) (Dem)_Provisional Votes,Mona Smith (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,50,18,15,1,84,84,
1,Baker,Elmodel,401,66,108,72,1,247,247,
2,Baker,Hoggards Mill,351,73,79,53,0,205,205,
3,Baker,Milford,270,74,56,36,0,166,166,
4,Baker,Newton,1070,97,331,145,0,573,573,
