index,County,Precinct,Registered Voters,Stephanie Key (I) (Dem)_Election Day Votes,Stephanie Key (I) (Dem)_Advanced Voting Votes,Stephanie Key (I) (Dem)_Absentee by Mail Votes,Stephanie Key (I) (Dem)_Provisional Votes,Stephanie Key (I) (Dem)_Choice Total,Total,
0,Baker,Anna,166,47,14,15,1,77,77,
1,Baker,Elmodel,401,60,109,73,1,243,243,
2,Baker,Hoggards Mill,351,66,71,51,0,188,188,
3,Baker,Milford,270,63,57,38,0,158,158,
4,Baker,Newton,1070,97,319,146,0,562,562,
