index,County,Precinct,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
0,Baker,Anna,166,51,22,11,1,85,85,
1,Baker,Elmodel,401,57,96,54,1,208,208,
2,Baker,Hoggards Mill,351,59,65,34,0,158,158,
3,Baker,Milford,270,65,56,30,0,151,151,
4,Baker,Newton,1070,92,312,121,0,525,525,
