index,County,Precinct,Registered Voters,Megan Cramer (Dem)_Election Day Votes,Megan Cramer (Dem)_Advanced Voting Votes,Megan Cramer (Dem)_Absentee by Mail Votes,Megan Cramer (Dem)_Provisional Votes,Megan Cramer (Dem)_Choice Total,Total,
0,Washington,Riddleville,561,111,102,92,1,306,306,
1,Washington,Warthen,742,180,116,124,1,421,421,
2,Washington,Tennille,2512,345,694,349,3,1391,1391,
3,Washington,Oconee,581,114,106,80,1,301,301,
4,Washington,Harrison,1005,229,194,117,1,541,541,
5,Washington,Davisboro,814,191,159,108,0,458,458,
6,Washington,Sandersville,6221,607,1799,1170,0,3576,3576,
7,Washington,Deepstep,554,144,86,65,1,296,296,
