index,County,Precinct,Registered Voters,Michael Howard (I) (Dem)_Election Day Votes,Michael Howard (I) (Dem)_Advanced Voting Votes,Michael Howard (I) (Dem)_Absentee by Mail Votes,Michael Howard (I) (Dem)_Provisional Votes,Michael Howard (I) (Dem)_Choice Total,Total,
0,Washington,Riddleville,561,121,97,86,1,305,305,
1,Washington,Warthen,742,181,118,129,1,429,429,
2,Washington,Tennille,2512,346,679,346,3,1374,1374,
3,Washington,Oconee,581,120,110,87,1,318,318,
4,Washington,Harrison,1005,220,187,116,1,524,524,
5,Washington,Davisboro,814,196,164,99,0,459,459,
6,Washington,Sandersville,6221,595,1813,1137,0,3545,3545,
7,Washington,Deepstep,554,150,81,60,1,292,292,
