index,County,Precinct,Registered Voters,"Manzie T. Broxton, Sr. (Dem)_Election Day Votes","Manzie T. Broxton, Sr. (Dem)_Advanced Voting Votes","Manzie T. Broxton, Sr. (Dem)_Absentee by Mail Votes","Manzie T. Broxton, Sr. (Dem)_Provisional Votes","Manzie T. Broxton, Sr. (Dem)_Choice Total",Total,
0,Washington,Riddleville,561,118,91,88,1,298,298,
1,Washington,Warthen,742,175,119,122,1,417,417,
2,Washington,Tennille,2512,345,673,354,3,1375,1375,
3,Washington,Oconee,581,111,105,89,1,306,306,
4,Washington,Harrison,1005,227,193,123,1,544,544,
5,Washington,Davisboro,814,192,154,104,0,450,450,
6,Washington,Sandersville,6221,611,1767,1137,0,3515,3515,
7,Washington,Deepstep,554,141,76,65,1,283,283,
