index,County,Precinct,Registered Voters,Tripp Fitzner (Rep)_Election Day Votes,Tripp Fitzner (Rep)_Advanced Voting Votes,Tripp Fitzner (Rep)_Absentee by Mail Votes,Tripp Fitzner (Rep)_Provisional Votes,Tripp Fitzner (Rep)_Choice Total,Total,
0,Washington,Riddleville,561,135,108,47,1,291,291,
1,Washington,Warthen,742,189,124,95,0,408,408,
2,Washington,Tennille,2512,294,581,189,1,1065,1065,
3,Washington,Oconee,581,124,90,44,0,258,258,
4,Washington,Harrison,1005,238,226,80,2,546,546,
5,Washington,Davisboro,814,182,165,84,0,431,431,
6,Washington,Sandersville,6221,510,1631,732,0,2873,2873,
7,Washington,Deepstep,554,183,91,47,1,322,322,
