index,County,Precinct,Registered Voters,E.K. May (I) (Dem)_Election Day Votes,E.K. May (I) (Dem)_Advanced Voting Votes,E.K. May (I) (Dem)_Absentee by Mail Votes,E.K. May (I) (Dem)_Provisional Votes,E.K. May (I) (Dem)_Choice Total,Total,
0,Washington,Riddleville,561,143,110,93,1,347,347,
1,Washington,Warthen,742,213,140,129,1,483,483,
2,Washington,Tennille,2512,365,758,347,3,1473,1473,
3,Washington,Oconee,581,151,119,88,1,359,359,
4,Washington,Harrison,1005,265,224,123,2,614,614,
5,Washington,Davisboro,814,215,185,115,0,515,515,
6,Washington,Sandersville,6221,630,2005,1160,0,3795,3795,
7,Washington,Deepstep,554,183,99,67,1,350,350,
