index,County,Precinct,Registered Voters,Joel Cochran (I) (Dem)_Election Day Votes,Joel Cochran (I) (Dem)_Advanced Voting Votes,Joel Cochran (I) (Dem)_Absentee by Mail Votes,Joel Cochran (I) (Dem)_Provisional Votes,Joel Cochran (I) (Dem)_Choice Total,Total,
0,Washington,Riddleville,561,143,112,93,1,349,349,
1,Washington,Warthen,742,214,140,131,1,486,486,
2,Washington,Tennille,2512,351,765,358,3,1477,1477,
3,Washington,Oconee,581,154,120,88,1,363,363,
4,Washington,Harrison,1005,265,235,121,2,623,623,
5,Washington,Davisboro,814,209,190,119,0,518,518,
6,Washington,Sandersville,6221,627,2005,1171,0,3803,3803,
7,Washington,Deepstep,554,180,105,71,1,357,357,
