index,County,Precinct,Registered Voters,Russell A. Sheppard (I) (Dem)_Election Day Votes,Russell A. Sheppard (I) (Dem)_Advanced Voting Votes,Russell A. Sheppard (I) (Dem)_Absentee by Mail Votes,Russell A. Sheppard (I) (Dem)_Provisional Votes,Russell A. Sheppard (I) (Dem)_Choice Total,Total,
0,Washington,Riddleville,561,129,107,92,0,328,328,
1,Washington,Warthen,742,196,130,134,1,461,461,
2,Washington,Tennille,2512,369,763,364,3,1499,1499,
3,Washington,Oconee,581,139,115,85,1,340,340,
4,Washington,Harrison,1005,245,218,124,2,589,589,
5,Washington,Davisboro,814,207,183,119,0,509,509,
6,Washington,Sandersville,6221,642,2014,1200,0,3856,3856,
7,Washington,Deepstep,554,177,100,69,1,347,347,
