index,County,Precinct,Registered Voters,Jeannette Anderson (I) (Dem)_Election Day Votes,Jeannette Anderson (I) (Dem)_Advanced Voting Votes,Jeannette Anderson (I) (Dem)_Absentee by Mail Votes,Jeannette Anderson (I) (Dem)_Provisional Votes,Jeannette Anderson (I) (Dem)_Choice Total,Total,
0,Washington,Riddleville,561,135,108,93,1,337,337,
1,Washington,Warthen,742,197,131,126,1,455,455,
2,Washington,Tennille,2512,364,734,350,3,1451,1451,
3,Washington,Oconee,581,133,110,88,1,332,332,
4,Washington,Harrison,1005,250,214,122,1,587,587,
5,Washington,Davisboro,814,207,178,113,0,498,498,
6,Washington,Sandersville,6221,627,1954,1187,0,3768,3768,
7,Washington,Deepstep,554,163,94,69,1,327,327,
